case:concept:name,concept:name,time:timestamp,People,Role
47349,PRReviewComment,2021-02-24 11:34:44+00:00,jgehw,Reviewer
47349,ClosePR,2021-02-24 11:35:06+00:00,jgehw,Maintainer
47349,DeleteBranch,2021-02-24 11:36:09+00:00,jgehw,Committer
47356,CreateBranch,2021-02-24 01:32:04+00:00,jzhoulon,Committer
47356,OpenPR,2021-02-24 01:35:21+00:00,jzhoulon,Committer
47356,ClosePR,2021-03-20 02:54:17+00:00,jzhoulon,Maintainer
47388,ForkRepository,2021-02-25 03:30:41+00:00,kellergoech,Committer
47388,SubmitCommit,2021-02-25 03:34:54+00:00,kellergoech,Committer
47388,SubmitCommit,2021-02-25 03:37:08+00:00,kellergoech,Committer
47388,OpenPR,2021-02-25 03:39:53+00:00,kellergoech,Committer
47388,ClosePR,2021-05-05 23:20:41+00:00,angerson,Maintainer
47414,ForkRepository,2021-02-25 22:09:31+00:00,rezajebeli97,Committer
47414,OpenPR,2021-02-25 22:10:33+00:00,rezajebeli97,Committer
47414,SubmitCommit,2021-02-25 22:10:35+00:00,rezajebeli97,Committer
47414,PRReviewReject,2021-02-28 00:23:05+00:00,mihaimaruseac,Reviewer
47414,ClosePR,2021-02-28 00:23:22+00:00,mihaimaruseac,Maintainer
47440,OpenPR,2021-02-26 17:59:36+00:00,vnvo2409,Committer
47440,ClosePR,2021-04-07 20:43:16+00:00,vnvo2409,Maintainer
47449,SubmitCommit,2021-02-27 13:33:40+00:00,bhack,Committer
47449,OpenPR,2021-02-27 13:34:11+00:00,bhack,Committer
47449,SubmitCommit,2021-02-27 13:34:58+00:00,bhack,Committer
47449,SubmitCommit,2021-02-27 13:50:55+00:00,bhack,Committer
47449,ClosePR,2021-03-19 18:09:48+00:00,reedwm,Maintainer
47449,DeleteBranch,2021-03-19 19:54:50+00:00,bhack,Committer
47472,ForkRepository,2021-02-28 18:16:03+00:00,sangireddysiva,Committer
47472,SubmitCommit,2021-03-01 10:05:29+00:00,sangireddysiva,Committer
47472,OpenPR,2021-03-01 10:08:41+00:00,sangireddysiva,Committer
47472,ClosePR,2021-03-04 16:25:56+00:00,sangireddysiva,Maintainer
47480,CreateBranch,2021-03-01 19:55:01+00:00,nouiz,Committer
47480,OpenPR,2021-03-01 19:56:00+00:00,nouiz,Committer
47480,PRReviewComment,2021-03-08 20:14:46+00:00,chsigg,Reviewer
47480,PRReviewComment,2021-03-08 20:14:47+00:00,chsigg,Reviewer
47480,PRReviewComment,2021-03-08 20:16:00+00:00,chsigg,Reviewer
47480,PRReviewComment,2021-03-08 20:16:01+00:00,chsigg,Reviewer
47480,PRReviewComment,2021-03-08 20:19:59+00:00,chsigg,Reviewer
47480,PRReviewComment,2021-03-08 20:20:46+00:00,chsigg,Reviewer
47480,PRReviewComment,2021-03-08 20:24:09+00:00,nouiz,Reviewer
47480,PRReviewComment,2021-03-08 20:38:01+00:00,nouiz,Reviewer
47480,PRReviewComment,2021-03-08 20:38:02+00:00,nouiz,Reviewer
47480,SubmitCommit,2021-03-16 17:56:23+00:00,nouiz,Committer
47480,SubmitCommit,2021-03-16 17:58:50+00:00,nouiz,Committer
47480,SubmitCommit,2021-03-16 18:58:30+00:00,nouiz,Committer
47480,SubmitCommit,2021-03-19 17:14:01+00:00,nouiz,Committer
47480,PRReviewComment,2021-03-30 17:37:57+00:00,chsigg,Reviewer
47480,PRReviewApprove,2021-03-30 17:43:22+00:00,chsigg,Reviewer
47480,PRReviewComment,2021-03-30 18:18:03+00:00,nouiz,Reviewer
47480,ClosePR,2021-04-06 14:44:10+00:00,gbaned,Maintainer
47489,ForkRepository,2021-02-01 08:49:06+00:00,shivaditya-meduri,Committer
47489,SubmitCommit,2021-03-02 02:07:50+00:00,shivaditya-meduri,Committer
47489,OpenPR,2021-03-02 02:13:13+00:00,shivaditya-meduri,Committer
47489,PRReviewComment,2021-03-03 20:44:48+00:00,qlzh727,Reviewer
47489,PRReviewReject,2021-03-03 20:44:52+00:00,qlzh727,Reviewer
47489,PRReviewComment,2021-03-03 23:01:23+00:00,shivaditya-meduri,Reviewer
47489,PRReviewComment,2021-03-03 23:01:24+00:00,shivaditya-meduri,Reviewer
47489,PRReviewComment,2021-03-03 23:01:58+00:00,shivaditya-meduri,Reviewer
47489,PRReviewComment,2021-03-19 18:01:06+00:00,gbaned,Reviewer
47489,PRReviewComment,2021-03-19 18:01:07+00:00,gbaned,Reviewer
47489,ClosePR,2021-05-06 20:29:50+00:00,shivaditya-meduri,Maintainer
47507,CreateBranch,2021-03-02 17:53:45+00:00,rsun-bdti,Committer
47507,OpenPR,2021-03-02 18:00:03+00:00,rsun-bdti,Committer
47507,SubmitCommit,2021-03-10 19:57:23+00:00,rsun-bdti,Committer
47507,ClosePR,2021-03-10 20:02:03+00:00,rsun-bdti,Maintainer
47540,SubmitCommit,2021-03-03 21:41:56+00:00,MarcelRaschke,Committer
47540,SubmitCommit,2021-03-03 21:42:56+00:00,MarcelRaschke,Committer
47540,SubmitCommit,2021-03-03 21:44:12+00:00,MarcelRaschke,Committer
47540,OpenPR,2021-03-03 22:28:41+00:00,MarcelRaschke,Committer
47540,PRReviewComment,2021-03-03 22:29:55+00:00,MarcelRaschke,Reviewer
47540,ClosePR,2021-03-04 14:56:54+00:00,gbaned,Maintainer
47542,CreateBranch,2021-03-03 23:32:24+00:00,WindQAQ,Committer
47542,SubmitCommit,2021-03-03 23:35:49+00:00,WindQAQ,Committer
47542,OpenPR,2021-03-03 23:40:10+00:00,WindQAQ,Committer
47542,ClosePR,2021-03-04 00:20:14+00:00,WindQAQ,Maintainer
47543,CreateBranch,2021-03-03 23:42:11+00:00,mahmoud-abuzaina,Committer
47543,OpenPR,2021-03-03 23:45:24+00:00,mahmoud-abuzaina,Committer
47543,PRReviewApprove,2021-03-04 04:34:07+00:00,penpornk,Reviewer
47543,PRReviewReject,2021-03-05 05:44:58+00:00,penpornk,Reviewer
47543,SubmitCommit,2021-03-05 16:13:20+00:00,mahmoud-abuzaina,Committer
47543,SubmitCommit,2021-03-05 23:54:35+00:00,mahmoud-abuzaina,Committer
47543,ClosePR,2021-03-09 01:45:12+00:00,penpornk,Maintainer
47591,ForkRepository,2021-03-05 13:35:34+00:00,sspintel,Committer
47591,SubmitCommit,2021-03-05 13:51:36+00:00,sspintel,Committer
47591,OpenPR,2021-03-05 13:54:08+00:00,sspintel,Committer
47591,ClosePR,2021-04-08 15:09:43+00:00,sspintel,Maintainer
47604,ForkRepository,2021-02-25 21:26:46+00:00,around-star,Committer
47604,SubmitCommit,2021-03-06 11:39:29+00:00,around-star,Committer
47604,OpenPR,2021-03-06 11:45:08+00:00,around-star,Committer
47604,PRReviewComment,2021-03-06 17:27:11+00:00,walli55,Reviewer
47604,PRReviewComment,2021-03-06 17:27:17+00:00,walli55,Reviewer
47604,PRReviewApprove,2021-03-06 17:28:24+00:00,walli55,Reviewer
47604,SubmitCommit,2021-03-07 11:55:36+00:00,around-star,Committer
47604,PRReviewComment,2021-03-10 22:18:58+00:00,fchollet,Reviewer
47604,ClosePR,2021-03-10 22:19:03+00:00,fchollet,Maintainer
47604,DeleteBranch,2021-03-10 23:28:37+00:00,around-star,Committer
47612,ForkRepository,2021-03-01 05:27:43+00:00,CyangXu,Committer
47612,CreateBranch,2021-03-06 23:58:33+00:00,CyangXu,Committer
47612,OpenPR,2021-03-07 00:01:36+00:00,CyangXu,Committer
47612,ClosePR,2021-03-07 00:02:05+00:00,CyangXu,Maintainer
47617,CreateBranch,2021-03-07 08:22:51+00:00,JerryShih,Committer
47617,OpenPR,2021-03-07 08:37:00+00:00,JerryShih,Committer
47617,PRReviewComment,2021-03-08 03:42:09+00:00,multiverse-tf,Reviewer
47617,PRReviewComment,2021-03-08 03:42:10+00:00,multiverse-tf,Reviewer
47617,PRReviewComment,2021-03-08 04:18:11+00:00,JerryShih,Reviewer
47617,PRReviewComment,2021-03-08 06:00:53+00:00,multiverse-tf,Reviewer
47617,PRReviewComment,2021-03-08 06:45:51+00:00,JerryShih,Reviewer
47617,PRReviewComment,2021-03-08 06:45:52+00:00,JerryShih,Reviewer
47617,PRReviewComment,2021-03-08 08:46:38+00:00,multiverse-tf,Reviewer
47617,PRReviewComment,2021-03-08 08:46:39+00:00,multiverse-tf,Reviewer
47617,PRReviewComment,2021-03-08 08:57:36+00:00,JerryShih,Reviewer
47617,PRReviewComment,2021-03-08 08:57:37+00:00,JerryShih,Reviewer
47617,ClosePR,2021-03-08 08:57:45+00:00,JerryShih,Maintainer
47625,ForkRepository,2021-03-01 05:27:43+00:00,CyangXu,Committer
47625,CreateBranch,2021-03-07 19:40:46+00:00,CyangXu,Committer
47625,OpenPR,2021-03-07 19:40:57+00:00,CyangXu,Committer
47625,ClosePR,2021-03-07 19:41:22+00:00,CyangXu,Maintainer
47625,DeleteBranch,2021-03-07 19:44:35+00:00,CyangXu,Committer
47626,ForkRepository,2021-03-01 05:27:43+00:00,CyangXu,Committer
47626,CreateBranch,2021-03-07 19:44:41+00:00,CyangXu,Committer
47626,OpenPR,2021-03-07 19:46:07+00:00,CyangXu,Committer
47626,ClosePR,2021-03-21 16:49:42+00:00,mihaimaruseac,Maintainer
47641,CreateBranch,2021-02-24 15:44:20+00:00,jakob1111996,Committer
47641,SubmitCommit,2021-02-24 16:25:49+00:00,jakob1111996,Committer
47641,SubmitCommit,2021-03-02 17:45:39+00:00,jakob1111996,Committer
47641,SubmitCommit,2021-03-02 18:05:27+00:00,jakob1111996,Committer
47641,SubmitCommit,2021-03-02 18:09:19+00:00,jakob1111996,Committer
47641,SubmitCommit,2021-03-08 10:59:13+00:00,jakob1111996,Committer
47641,OpenPR,2021-03-08 12:15:56+00:00,andrewstevens-infineon,Committer
47641,ClosePR,2021-03-08 13:35:45+00:00,andrewstevens-infineon,Maintainer
47643,CreateBranch,2021-03-08 13:46:30+00:00,andrewstevens-infineon,Committer
47643,OpenPR,2021-03-08 13:49:04+00:00,andrewstevens-infineon,Committer
47643,SubmitCommit,2021-04-08 08:54:37+00:00,andrewstevens-infineon,Committer
