case:concept:name,concept:name,time:timestamp,People,Role
50390,SubmitCommit,2021-06-03 15:13:05+00:00,mihaimaruseac,Committer
50390,SubmitCommit,2021-06-03 19:04:26+00:00,mihaimaruseac,Committer
50390,SubmitCommit,2021-06-03 19:11:37+00:00,mihaimaruseac,Committer
50390,SubmitCommit,2021-06-03 21:00:23+00:00,mihaimaruseac,Committer
50390,SubmitCommit,2021-06-04 00:10:22+00:00,mihaimaruseac,Committer
50390,SubmitCommit,2021-06-04 20:32:26+00:00,mihaimaruseac,Committer
50390,OpenPR,2021-06-22 06:00:16+00:00,v3551G,Committer
50390,ClosePR,2021-06-22 13:21:43+00:00,gbaned,Maintainer
50442,CreateBranch,2021-06-24 19:48:56+00:00,jvishnuvardhan,Committer
50442,OpenPR,2021-06-24 19:49:07+00:00,jvishnuvardhan,Committer
50442,PRReviewReject,2021-06-24 19:59:41+00:00,qlzh727,Reviewer
50442,ClosePR,2021-06-24 20:19:42+00:00,jvishnuvardhan,Maintainer
50442,DeleteBranch,2021-06-24 20:20:12+00:00,jvishnuvardhan,Committer
50464,CreateBranch,2021-06-25 21:09:42+00:00,jvishnuvardhan,Committer
50464,OpenPR,2021-06-25 21:09:54+00:00,jvishnuvardhan,Committer
50464,PRReviewApprove,2021-06-25 21:11:45+00:00,rthadur,Reviewer
50464,ClosePR,2021-06-28 15:05:38+00:00,jvishnuvardhan,Maintainer
50464,DeleteBranch,2021-06-28 15:06:36+00:00,jvishnuvardhan,Committer
50544,CreateBranch,2021-06-30 17:53:10+00:00,qlzh727,Committer
50544,OpenPR,2021-06-30 17:53:20+00:00,qlzh727,Committer
50544,ClosePR,2021-06-30 17:57:09+00:00,qlzh727,Maintainer
